"No.","Time","Source","Destination","Protocol","Length","ID","Info"
"52","01:50:21.925573229","10.0.0.214","162.159.134.234","TCP","54","","42220  >  443 [ACK] Seq=1 Ack=2986 Win=1961 Len=0"
"53","01:50:21.946798663","162.159.134.234","10.0.0.214","TLSv1.2","146","","Application Data"
"54","01:50:21.946947187","10.0.0.214","162.159.134.234","TCP","54","","42220  >  443 [ACK] Seq=1 Ack=3078 Win=1961 Len=0"
"55","01:50:21.954950820","162.159.134.234","10.0.0.214","TLSv1.2","128","","Application Data"
"56","01:50:21.955026146","10.0.0.214","162.159.134.234","TCP","54","","42220  >  443 [ACK] Seq=1 Ack=3152 Win=1961 Len=0"
"57","01:50:21.967876773","162.159.134.234","10.0.0.214","TLSv1.2","190","","Application Data"
"58","01:50:21.967953937","10.0.0.214","162.159.134.234","TCP","54","","42220  >  443 [ACK] Seq=1 Ack=3288 Win=1961 Len=0"
"59","01:50:21.997776778","162.159.134.234","10.0.0.214","TLSv1.2","146","","Application Data"
"60","01:50:21.997878050","10.0.0.214","162.159.134.234","TCP","54","","42220  >  443 [ACK] Seq=1 Ack=3380 Win=1961 Len=0"
"61","01:50:22.006990603","162.159.134.234","10.0.0.214","TLSv1.2","192","","Application Data"
"62","01:50:22.007078248","10.0.0.214","162.159.134.234","TCP","54","","42220  >  443 [ACK] Seq=1 Ack=3518 Win=1961 Len=0"
"63","01:50:22.025073069","162.159.134.234","10.0.0.214","TLSv1.2","135","","Application Data"
"64","01:50:22.025154328","10.0.0.214","162.159.134.234","TCP","54","","42220  >  443 [ACK] Seq=1 Ack=3599 Win=1961 Len=0"
"65","01:50:22.054208996","fe80::fa5e:42ff:feb9:eefa","ff02::1","ICMPv6","174","","Router Advertisement from f8:5e:42:b9:ee:fa"
"66","01:50:22.054210796","162.159.134.234","10.0.0.214","TLSv1.2","224","","Application Data"
"67","01:50:22.054306002","10.0.0.214","162.159.134.234","TCP","54","","42220  >  443 [ACK] Seq=1 Ack=3769 Win=1961 Len=0"
"68","01:50:22.057577941","162.159.134.234","10.0.0.214","TLSv1.2","209","","Application Data"
"69","01:50:22.057665267","10.0.0.214","162.159.134.234","TCP","54","","42220  >  443 [ACK] Seq=1 Ack=3924 Win=1961 Len=0"
"70","01:50:22.065052694","162.159.134.234","10.0.0.214","TLSv1.2","146","","Application Data"
"71","01:50:22.065136465","10.0.0.214","162.159.134.234","TCP","54","","42220  >  443 [ACK] Seq=1 Ack=4016 Win=1961 Len=0"
"72","01:50:22.066421847","fe80::f2cd:7016:d1f2:6f85","ff02::16","ICMPv6","170","","Multicast Listener Report Message v2"
"73","01:50:22.078871061","162.159.134.234","10.0.0.214","TLSv1.2","125","","Application Data"
"74","01:50:22.078955524","10.0.0.214","162.159.134.234","TCP","54","","42220  >  443 [ACK] Seq=1 Ack=4087 Win=1961 Len=0"
"75","01:50:22.091990034","162.159.134.234","10.0.0.214","TLSv1.2","132","","Application Data"
"76","01:50:22.092098221","10.0.0.214","162.159.134.234","TCP","54","","42220  >  443 [ACK] Seq=1 Ack=4165 Win=1961 Len=0"
"77","01:50:22.114387393","162.159.134.234","10.0.0.214","TLSv1.2","156","","Application Data"
"78","01:50:22.114460458","10.0.0.214","162.159.134.234","TCP","54","","42220  >  443 [ACK] Seq=1 Ack=4267 Win=1961 Len=0"
"79","01:50:22.121991820","162.159.134.234","10.0.0.214","TLSv1.2","130","","Application Data"
"80","01:50:22.122144690","10.0.0.214","162.159.134.234","TCP","54","","42220  >  443 [ACK] Seq=1 Ack=4343 Win=1961 Len=0"
"81","01:50:22.136371766","162.159.134.234","10.0.0.214","TLSv1.2","132","","Application Data"
"82","01:50:22.136536697","10.0.0.214","162.159.134.234","TCP","54","","42220  >  443 [ACK] Seq=1 Ack=4421 Win=1961 Len=0"
"83","01:50:22.149333882","162.159.134.234","10.0.0.214","TLSv1.2","140","","Application Data"
"84","01:50:22.149496191","10.0.0.214","162.159.134.234","TCP","54","","42220  >  443 [ACK] Seq=1 Ack=4507 Win=1961 Len=0"
"85","01:50:22.230456516","fe80::f2cd:7016:d1f2:6f85","ff02::16","ICMPv6","170","","Multicast Listener Report Message v2"
"86","01:50:22.450189542","10.0.0.214","10.0.0.69","TCP","183","","52290  >  8009 [PSH, ACK] Seq=1 Ack=1 Win=501 Len=117 TSval=452420332 TSecr=449191 [TCP segment of a reassembled PDU]"
"87","01:50:22.474563446","10.0.0.69","10.0.0.214","TCP","183","","8009  >  52290 [PSH, ACK] Seq=1 Ack=118 Win=277 Len=117 TSval=449694 TSecr=452420332 [TCP segment of a reassembled PDU]"
"88","01:50:22.474606092","10.0.0.214","10.0.0.69","TCP","66","","52290  >  8009 [ACK] Seq=118 Ack=118 Win=501 Len=0 TSval=452420356 TSecr=449694"
"89","01:50:24.504179667","10.0.0.247","255.255.255.255","UDP","214","","49154  >  6666 Len=172"
"90","01:50:24.843753714","10.0.0.214","8.8.8.8","DNS","85","","Standard query 0x09ba A www.google.com OPT"
"91","01:50:24.843812075","10.0.0.214","8.8.8.8","DNS","81","","Standard query 0xcaa7 A google.com OPT"
"92","01:50:24.843897484","10.0.0.214","8.8.8.8","DNS","94","","Standard query 0xedd9 A youtubei.googleapis.com OPT"
"93","01:50:24.843962593","10.0.0.214","8.8.8.8","DNS","94","","Standard query 0x00cf A youtube-ui.l.google.com OPT"
"94","01:50:24.844039205","10.0.0.214","8.8.8.8","DNS","84","","Standard query 0x9cab A m.youtube.com OPT"
"95","01:50:24.844073398","10.0.0.214","8.8.8.8","DNS","93","","Standard query 0x9357 A youtube.googleapis.com OPT"
"96","01:50:24.844105684","10.0.0.214","8.8.8.8","DNS","91","","Standard query 0x0e66 A restrict.youtube.com OPT"
"97","01:50:24.865132095","8.8.8.8","10.0.0.214","DNS","181","","Standard query response 0x09ba A www.google.com A 142.250.31.106 A 142.250.31.103 A 142.250.31.99 A 142.250.31.147 A 142.250.31.105 A 142.250.31.104 OPT"
"98","01:50:24.865743504","10.0.0.214","8.8.8.8","DNS","93","","Standard query 0x56d1 A sitereview.zscaler.com OPT"
"99","01:50:24.870961925","8.8.8.8","10.0.0.214","DNS","110","","Standard query response 0xedd9 A youtubei.googleapis.com A 142.250.65.74 OPT"
"100","01:50:24.870961913","8.8.8.8","10.0.0.214","DNS","100","","Standard query response 0x9cab A m.youtube.com A 142.251.33.206 OPT"
"101","01:50:24.870964126","8.8.8.8","10.0.0.214","DNS","109","","Standard query response 0x9357 A youtube.googleapis.com A 142.250.65.74 OPT"
"102","01:50:24.870961639","8.8.8.8","10.0.0.214","DNS","97","","Standard query response 0xcaa7 A google.com A 142.251.33.206 OPT"
"103","01:50:24.870961792","8.8.8.8","10.0.0.214","DNS","107","","Standard query response 0x0e66 A restrict.youtube.com A 216.239.38.120 OPT"
"104","01:50:24.870964158","8.8.8.8","10.0.0.214","DNS","254","","Standard query response 0x00cf A youtube-ui.l.google.com A 172.217.13.78 A 172.217.13.238 A 172.217.15.78 A 142.250.81.206 A 142.251.33.206 A 172.217.164.174 A 172.217.12.238 A 142.250.73.206 A 142.250.65.78 A 172.217.8.14 OPT"
"105","01:50:24.871484679","10.0.0.214","8.8.8.8","DNS","94","","Standard query 0x2715 A use-application-dns.net OPT"
"106","01:50:24.871541123","10.0.0.214","8.8.8.8","DNS","95","","Standard query 0xd0d8 A detectportal.firefox.com OPT"
"107","01:50:24.871595853","10.0.0.214","8.8.8.8","DNS","95","","Standard query 0x699f AAAA detectportal.firefox.com OPT"
"108","01:50:24.885048575","8.8.8.8","10.0.0.214","DNS","109","","Standard query response 0x56d1 A sitereview.zscaler.com A 199.168.148.86 OPT"
"109","01:50:24.891477157","8.8.8.8","10.0.0.214","DNS","142","","Standard query response 0x2715 A use-application-dns.net A 44.236.48.31 A 44.236.72.93 A 44.235.246.155 OPT"
"110","01:50:24.891840054","8.8.8.8","10.0.0.214","DNS","206","","Standard query response 0xd0d8 A detectportal.firefox.com CNAME detectportal.prod.mozaws.net CNAME prod.detectportal.prod.cloudops.mozgcp.net A 34.107.221.82 OPT"
"111","01:50:24.897793205","8.8.8.8","10.0.0.214","DNS","218","","Standard query response 0x699f AAAA detectportal.firefox.com CNAME detectportal.prod.mozaws.net CNAME prod.detectportal.prod.cloudops.mozgcp.net AAAA 2600:1901:0:38d7:: OPT"
"112","01:50:24.898102169","2601:143:c701:ae60:6758:2126:81b1:b731","2600:1901:0:38d7::","TCP","94","","46298  >  80 [SYN] Seq=0 Win=64800 Len=0 MSS=1440 SACK_PERM=1 TSval=2465725882 TSecr=0 WS=128"
"113","01:50:24.921645431","2600:1901:0:38d7::","2601:143:c701:ae60:6758:2126:81b1:b731","TCP","94","","80  >  46298 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 SACK_PERM=1 TSval=1739789707 TSecr=2465725882 WS=256"
"114","01:50:24.921689434","2601:143:c701:ae60:6758:2126:81b1:b731","2600:1901:0:38d7::","TCP","86","","46298  >  80 [ACK] Seq=1 Ack=1 Win=64896 Len=0 TSval=2465725906 TSecr=1739789707"
"115","01:50:24.921864176","2601:143:c701:ae60:6758:2126:81b1:b731","2600:1901:0:38d7::","HTTP","382","","GET /success.txt HTTP/1.1 "
"116","01:50:24.951359134","2600:1901:0:38d7::","2601:143:c701:ae60:6758:2126:81b1:b731","TCP","86","","80  >  46298 [ACK] Seq=1 Ack=297 Win=66816 Len=0 TSval=1739789734 TSecr=2465725906"
"117","01:50:24.952221991","2600:1901:0:38d7::","2601:143:c701:ae60:6758:2126:81b1:b731","HTTP","306","","HTTP/1.1 200 OK  (text/plain)"
"118","01:50:24.952235624","2601:143:c701:ae60:6758:2126:81b1:b731","2600:1901:0:38d7::","TCP","86","","46298  >  80 [ACK] Seq=297 Ack=221 Win=64768 Len=0 TSval=2465725937 TSecr=1739789735"
"119","01:50:25.015776714","10.0.0.214","8.8.8.8","DNS","79","","Standard query 0xdfc4 A doh.test OPT"
"120","01:50:25.021610860","10.0.0.214","8.8.8.8","DNS","84","","Standard query 0xf931 AAAA ipv4only.arpa OPT"
"121","01:50:25.021850034","10.0.0.214","34.107.221.82","TCP","74","","55892  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2688939687 TSecr=0 WS=128"
"122","01:50:25.022124117","2601:143:c701:ae60:6758:2126:81b1:b731","2600:1901:0:38d7::","TCP","94","","46302  >  80 [SYN] Seq=0 Win=64800 Len=0 MSS=1440 SACK_PERM=1 TSval=2465726006 TSecr=0 WS=128"
"123","01:50:25.033971235","8.8.8.8","10.0.0.214","DNS","154","","Standard query response 0xdfc4 No such name A doh.test SOA a.root-servers.net OPT"
"124","01:50:25.034071010","10.0.0.214","8.8.8.8","DNS","97","","Standard query 0xa99f A mozilla.cloudflare-dns.com OPT"
"125","01:50:25.034130953","10.0.0.214","8.8.8.8","DNS","97","","Standard query 0xe1cb AAAA mozilla.cloudflare-dns.com OPT"
"126","01:50:25.034151000","10.0.0.214","8.8.8.8","DNS","68","","Standard query 0xdfc4 A doh.test"
"127","01:50:25.038505509","8.8.8.8","10.0.0.214","DNS","141","","Standard query response 0xf931 AAAA ipv4only.arpa SOA sns.dns.icann.org OPT"
"128","01:50:25.043516623","2600:1901:0:38d7::","2601:143:c701:ae60:6758:2126:81b1:b731","TCP","94","","80  >  46302 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 SACK_PERM=1 TSval=3598902775 TSecr=2465726006 WS=256"
"129","01:50:25.043543110","2601:143:c701:ae60:6758:2126:81b1:b731","2600:1901:0:38d7::","TCP","86","","46302  >  80 [ACK] Seq=1 Ack=1 Win=64896 Len=0 TSval=2465726028 TSecr=3598902775"
"130","01:50:25.043567234","34.107.221.82","10.0.0.214","TCP","74","","80  >  55892 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1430 SACK_PERM=1 TSval=1102050553 TSecr=2688939687 WS=256"
"131","01:50:25.043586497","10.0.0.214","34.107.221.82","TCP","66","","55892  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2688939709 TSecr=1102050553"
"132","01:50:25.043609280","2601:143:c701:ae60:6758:2126:81b1:b731","2600:1901:0:38d7::","HTTP","387","","GET /success.txt?ipv6 HTTP/1.1 "
"133","01:50:25.043660871","10.0.0.214","34.107.221.82","HTTP","367","","GET /success.txt?ipv4 HTTP/1.1 "
"134","01:50:25.051528001","10.0.0.214","162.159.134.234","TLSv1.2","108","","Application Data"
"135","01:50:25.079828966","8.8.8.8","10.0.0.214","DNS","143","","Standard query response 0xdfc4 No such name A doh.test SOA a.root-servers.net"
"136","01:50:25.079933830","8.8.8.8","10.0.0.214","DNS","129","","Standard query response 0xa99f A mozilla.cloudflare-dns.com A 104.16.249.249 A 104.16.248.249 OPT"
"137","01:50:25.079933591","8.8.8.8","10.0.0.214","DNS","153","","Standard query response 0xe1cb AAAA mozilla.cloudflare-dns.com AAAA 2606:4700::6810:f9f9 AAAA 2606:4700::6810:f8f9 OPT"
"138","01:50:25.079963680","2600:1901:0:38d7::","2601:143:c701:ae60:6758:2126:81b1:b731","TCP","86","","80  >  46302 [ACK] Seq=1 Ack=302 Win=66816 Len=0 TSval=3598902811 TSecr=2465726028"
"139","01:50:25.080480385","2601:143:c701:ae60:6758:2126:81b1:b731","2606:4700::6810:f9f9","TCP","94","","47026  >  443 [SYN] Seq=0 Win=64800 Len=0 MSS=1440 SACK_PERM=1 TSval=4214025610 TSecr=0 WS=128"
"140","01:50:25.080521864","2601:143:c701:ae60:6758:2126:81b1:b731","2606:4700::6810:f9f9","TCP","94","","47028  >  443 [SYN] Seq=0 Win=64800 Len=0 MSS=1440 SACK_PERM=1 TSval=4214025610 TSecr=0 WS=128"
"141","01:50:25.080565985","2601:143:c701:ae60:6758:2126:81b1:b731","2606:4700::6810:f9f9","TCP","94","","47030  >  443 [SYN] Seq=0 Win=64800 Len=0 MSS=1440 SACK_PERM=1 TSval=4214025610 TSecr=0 WS=128"
"142","01:50:25.080600157","2601:143:c701:ae60:6758:2126:81b1:b731","2606:4700::6810:f9f9","TCP","94","","47032  >  443 [SYN] Seq=0 Win=64800 Len=0 MSS=1440 SACK_PERM=1 TSval=4214025610 TSecr=0 WS=128"
"143","01:50:25.080645929","2601:143:c701:ae60:6758:2126:81b1:b731","2606:4700::6810:f9f9","TCP","94","","47034  >  443 [SYN] Seq=0 Win=64800 Len=0 MSS=1440 SACK_PERM=1 TSval=4214025610 TSecr=0 WS=128"
"144","01:50:25.081428803","2600:1901:0:38d7::","2601:143:c701:ae60:6758:2126:81b1:b731","HTTP","306","","HTTP/1.1 200 OK  (text/plain)"
"145","01:50:25.081440144","2601:143:c701:ae60:6758:2126:81b1:b731","2600:1901:0:38d7::","TCP","86","","46302  >  80 [ACK] Seq=302 Ack=221 Win=64768 Len=0 TSval=2465726066 TSecr=3598902812"
"146","01:50:25.090438587","162.159.134.234","10.0.0.214","TLSv1.2","100","","Application Data"
"147","01:50:25.090567747","10.0.0.214","162.159.134.234","TCP","54","","42220  >  443 [ACK] Seq=55 Ack=4553 Win=1961 Len=0"
"148","01:50:25.096283053","34.107.221.82","10.0.0.214","TCP","66","","80  >  55892 [ACK] Seq=1 Ack=302 Win=66816 Len=0 TSval=1102050606 TSecr=2688939709"
"149","01:50:25.096356032","34.107.221.82","10.0.0.214","HTTP","286","","HTTP/1.1 200 OK  (text/plain)"
"150","01:50:25.096369224","10.0.0.214","34.107.221.82","TCP","66","","55892  >  80 [ACK] Seq=302 Ack=221 Win=64128 Len=0 TSval=2688939762 TSecr=1102050607"
"151","01:50:25.100412111","2606:4700::6810:f9f9","2601:143:c701:ae60:6758:2126:81b1:b731","TCP","86","","443  >  47026 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1360 SACK_PERM=1 WS=1024"
"152","01:50:25.100443131","2601:143:c701:ae60:6758:2126:81b1:b731","2606:4700::6810:f9f9","TCP","74","","47026  >  443 [ACK] Seq=1 Ack=1 Win=64896 Len=0"
"153","01:50:25.103092329","2601:143:c701:ae60:6758:2126:81b1:b731","2606:4700::6810:f9f9","TLSv1.3","591","","Client Hello"
"154","01:50:25.105021130","2606:4700::6810:f9f9","2601:143:c701:ae60:6758:2126:81b1:b731","TCP","86","","443  >  47030 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1360 SACK_PERM=1 WS=1024"
"155","01:50:25.105108995","2601:143:c701:ae60:6758:2126:81b1:b731","2606:4700::6810:f9f9","TCP","74","","47030  >  443 [ACK] Seq=1 Ack=1 Win=64896 Len=0"
"156","01:50:25.105113768","2606:4700::6810:f9f9","2601:143:c701:ae60:6758:2126:81b1:b731","TCP","86","","443  >  47028 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1360 SACK_PERM=1 WS=1024"
"157","01:50:25.105138649","2601:143:c701:ae60:6758:2126:81b1:b731","2606:4700::6810:f9f9","TCP","74","","47028  >  443 [ACK] Seq=1 Ack=1 Win=64896 Len=0"
"158","01:50:25.106836541","2601:143:c701:ae60:6758:2126:81b1:b731","2606:4700::6810:f9f9","TLSv1.3","591","","Client Hello"
"159","01:50:25.108093653","2601:143:c701:ae60:6758:2126:81b1:b731","2606:4700::6810:f9f9","TLSv1.3","591","","Client Hello"
"160","01:50:25.111637225","2606:4700::6810:f9f9","2601:143:c701:ae60:6758:2126:81b1:b731","TCP","86","","443  >  47034 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1360 SACK_PERM=1 WS=1024"
"161","01:50:25.111667759","2601:143:c701:ae60:6758:2126:81b1:b731","2606:4700::6810:f9f9","TCP","74","","47034  >  443 [ACK] Seq=1 Ack=1 Win=64896 Len=0"
"162","01:50:25.112937289","2606:4700::6810:f9f9","2601:143:c701:ae60:6758:2126:81b1:b731","TCP","86","","443  >  47032 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1360 SACK_PERM=1 WS=1024"
"163","01:50:25.112962045","2601:143:c701:ae60:6758:2126:81b1:b731","2606:4700::6810:f9f9","TCP","74","","47032  >  443 [ACK] Seq=1 Ack=1 Win=64896 Len=0"
"164","01:50:25.113033057","2601:143:c701:ae60:6758:2126:81b1:b731","2606:4700::6810:f9f9","TLSv1.3","591","","Client Hello"
"165","01:50:25.114263668","2601:143:c701:ae60:6758:2126:81b1:b731","2606:4700::6810:f9f9","TLSv1.3","591","","Client Hello"
"166","01:50:25.123834417","fe80::fa5e:42ff:feb9:eefa","ff02::1","ICMPv6","174","","Router Advertisement from f8:5e:42:b9:ee:fa"
"167","01:50:25.123835637","2606:4700::6810:f9f9","2601:143:c701:ae60:6758:2126:81b1:b731","TCP","74","","443  >  47026 [ACK] Seq=1 Ack=518 Win=67584 Len=0"
"168","01:50:25.125610008","2606:4700::6810:f9f9","2601:143:c701:ae60:6758:2126:81b1:b731","TLSv1.3","1434","","Server Hello, Change Cipher Spec"
"169","01:50:25.125631224","2601:143:c701:ae60:6758:2126:81b1:b731","2606:4700::6810:f9f9","TCP","74","","47026  >  443 [ACK] Seq=518 Ack=1361 Win=63616 Len=0"
"170","01:50:25.126337754","2606:4700::6810:f9f9","2601:143:c701:ae60:6758:2126:81b1:b731","TCP","1434","","443  >  47026 [ACK] Seq=1361 Ack=518 Win=67584 Len=1360 [TCP segment of a reassembled PDU]"
"171","01:50:25.126382998","2601:143:c701:ae60:6758:2126:81b1:b731","2606:4700::6810:f9f9","TCP","74","","47026  >  443 [ACK] Seq=518 Ack=2721 Win=63104 Len=0"
"172","01:50:25.126456443","2606:4700::6810:f9f9","2601:143:c701:ae60:6758:2126:81b1:b731","TLSv1.3","496","","Application Data"
"173","01:50:25.126460445","2601:143:c701:ae60:6758:2126:81b1:b731","2606:4700::6810:f9f9","TCP","74","","47026  >  443 [ACK] Seq=518 Ack=3143 Win=63104 Len=0"
"174","01:50:25.130572935","2606:4700::6810:f9f9","2601:143:c701:ae60:6758:2126:81b1:b731","TCP","74","","443  >  47030 [ACK] Seq=1 Ack=518 Win=67584 Len=0"
"175","01:50:25.131005396","2606:4700::6810:f9f9","2601:143:c701:ae60:6758:2126:81b1:b731","TCP","74","","[TCP Dup ACK 174#1] 443  >  47030 [ACK] Seq=1 Ack=518 Win=67584 Len=0"
"176","01:50:25.131675447","2601:143:c701:ae60:6758:2126:81b1:b731","2606:4700::6810:f9f9","TLSv1.3","138","","Change Cipher Spec, Application Data"
"177","01:50:25.131713510","2606:4700::6810:f9f9","2601:143:c701:ae60:6758:2126:81b1:b731","TLSv1.3","1434","","Server Hello, Change Cipher Spec"
"178","01:50:25.131724855","2601:143:c701:ae60:6758:2126:81b1:b731","2606:4700::6810:f9f9","TCP","74","","47030  >  443 [ACK] Seq=518 Ack=1361 Win=63616 Len=0"
"179","01:50:25.132062733","2601:143:c701:ae60:6758:2126:81b1:b731","2606:4700::6810:f9f9","TLSv1.3","244","","Application Data"
"180","01:50:25.132102386","2601:143:c701:ae60:6758:2126:81b1:b731","2606:4700::6810:f9f9","TLSv1.3","304","","Application Data, Application Data"
"181","01:50:25.132676295","2606:4700::6810:f9f9","2601:143:c701:ae60:6758:2126:81b1:b731","TCP","1434","","443  >  47030 [ACK] Seq=1361 Ack=518 Win=67584 Len=1360 [TCP segment of a reassembled PDU]"
"182","01:50:25.132683888","2601:143:c701:ae60:6758:2126:81b1:b731","2606:4700::6810:f9f9","TCP","74","","47030  >  443 [ACK] Seq=518 Ack=2721 Win=63104 Len=0"
"183","01:50:25.134069130","2606:4700::6810:f9f9","2601:143:c701:ae60:6758:2126:81b1:b731","TLSv1.3","497","","Application Data"
